player,country,team,position,match_played,minutes_played,subbed_in,subbed_out,unique_positions_played,positions_played,full_match_equivalents,league
Aaron Cresswell,England,West Ham United,Defender,37.0,3314.0,0.0,1.0,"['Left Wing Back', 'Left Back']","['Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Wing Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Wing Back', 'Left Back', 'Left Back', 'Left Wing Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back']",36.82222222222222,premier_league
Aaron Lennon,England,Everton,Forward,25.0,1575.0,8.0,8.0,"['Right Wing Back', 'Left Midfield', 'Right Wing', 'Center Forward', 'Right Defensive Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Left Wing', 'Left Attacking Midfield', 'Right Midfield']","['Right Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Center Forward', 'Left Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Midfield', 'Right Center Forward', 'Right Midfield', 'Right Wing', 'Center Attacking Midfield', 'Left Wing', 'Right Midfield', 'Right Wing', 'Right Defensive Midfield', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Midfield', 'Right Wing', 'Right Wing', 'Right Wing', 'Left Midfield', 'Left Wing', 'Left Attacking Midfield', 'Center Attacking Midfield', 'Right Wing', 'Right Wing Back', 'Right Wing']",17.5,premier_league
Aaron Ramsey,Wales,Arsenal,Midfielder,31.0,2629.0,2.0,2.0,"['Right Wing', 'Left Center Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Left Wing', 'Left Defensive Midfield']","['Right Wing', 'Right Wing', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Wing', 'Right Wing', 'Right Defensive Midfield', 'Right Wing', 'Right Defensive Midfield', 'Right Wing', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Right Wing', 'Right Wing', 'Left Defensive Midfield', 'Left Wing', 'Right Wing', 'Right Defensive Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Wing', 'Right Wing', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Wing', 'Right Defensive Midfield']",29.211111111111112,premier_league
Abdul Rahman Baba,Ghana,Chelsea,Defender,15.0,1038.0,4.0,3.0,"['Left Midfield', 'Right Back', 'Left Back', 'Left Center Back']","['Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Midfield', 'Right Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Center Back', 'Left Back', 'Left Back', 'Left Back']",11.533333333333333,premier_league
Adam David Lallana,England,Liverpool,Midfielder,30.0,2135.0,7.0,13.0,"['Right Center Midfield', 'Left Midfield', 'Right Wing', 'Left Center Midfield', 'Center Forward', 'Right Attacking Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Left Wing', 'Left Center Forward', 'Right Midfield']","['Right Midfield', 'Right Wing', 'Right Center Midfield', 'Right Wing', 'Right Attacking Midfield', 'Right Wing', 'Left Wing', 'Left Center Midfield', 'Right Center Forward', 'Left Wing', 'Left Center Forward', 'Left Center Midfield', 'Left Midfield', 'Center Attacking Midfield', 'Right Wing', 'Left Center Midfield', 'Right Attacking Midfield', 'Right Wing', 'Center Attacking Midfield', 'Center Forward', 'Left Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Wing', 'Right Attacking Midfield', 'Center Attacking Midfield', 'Right Wing', 'Left Wing', 'Right Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Wing', 'Left Midfield', 'Right Midfield', 'Left Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Wing', 'Center Attacking Midfield', 'Left Wing', 'Left Midfield', 'Center Attacking Midfield', 'Left Wing', 'Left Wing', 'Left Wing', 'Center Attacking Midfield', 'Right Wing', 'Center Attacking Midfield']",23.72222222222222,premier_league
Adam Federici,Australia,AFC Bournemouth,Goalkeeper,6.0,495.0,0.0,1.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper']",5.5,premier_league
Adam Johnson,England,Sunderland,Forward,19.0,1179.0,8.0,3.0,"['Right Center Midfield', 'Center Defensive Midfield', 'Left Midfield', 'Right Center Back', 'Right Wing', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Wing', 'Center Back', 'Right Midfield']","['Right Wing', 'Right Wing', 'Left Center Midfield', 'Right Midfield', 'Right Center Back', 'Left Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Wing', 'Right Wing', 'Center Back', 'Right Center Midfield', 'Right Wing', 'Right Midfield', 'Right Wing', 'Center Attacking Midfield', 'Right Wing', 'Center Attacking Midfield', 'Right Wing', 'Right Center Midfield', 'Center Attacking Midfield', 'Right Wing', 'Center Attacking Midfield', 'Left Center Midfield', 'Center Defensive Midfield', 'Center Attacking Midfield']",13.1,premier_league
Adam Matthews,Wales,Sunderland,Defender,1.0,42.0,1.0,0.0,['Right Back'],['Right Back'],0.4666666666666667,premier_league
Adam Smith,England,AFC Bournemouth,Defender,31.0,2140.0,9.0,2.0,"['Right Back', 'Left Midfield', 'Right Center Back', 'Left Back', 'Right Midfield']","['Right Back', 'Right Back', 'Left Midfield', 'Left Midfield', 'Right Midfield', 'Left Back', 'Right Back', 'Right Midfield', 'Right Back', 'Right Center Back', 'Right Back', 'Right Midfield', 'Right Back', 'Right Back', 'Left Midfield', 'Left Back', 'Right Midfield', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Left Midfield']",23.77777777777778,premier_league
Adama Traoré Diarra,Spain,Aston Villa,Forward,11.0,333.0,10.0,1.0,"['Center Defensive Midfield', 'Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Left Wing', 'Right Midfield']","['Left Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Left Wing', 'Center Attacking Midfield', 'Center Defensive Midfield', 'Left Wing', 'Right Center Forward', 'Right Midfield', 'Right Midfield']",3.7,premier_league
